"Each sheet contains a column representing the intensity values from approximately 20,000 captured cells.",,,
"The 20,000 intensity values in each column were used to create histograms for each sample.",,,
,,,
,,,
,,,
,,,
Sc644,BY4741,BY4743 (control diploid),Hybrid
249122.66,42451.75,148444.61,135794
83178.34,60383.61,99869.65,22.36
73060.44,39021.21,132307.56,131757.16
83585.984,75620.234,84193.14,161070.27
108523.4,78183.03,127510.484,69334.06
69052.84,69261.39,147300.8,93766.664
78309.88,89363.46,151456.33,137623.22
78275.484,44124.88,74178.44,67323.81
34732.39,69442.42,85694.7,86693.164
46066.332,33451.85,81187.01,166574.69
42069.05,64407.12,70147.19,130747.52
76486.25,79052.92,262143,145628.11
119062.7,45574.41,87725.164,144458.5
124097.14,40853.44,64198.14,85820.695
262143,37990.5,82732.43,152705.05
117603.28,134601.19,88482.39,132139.86
76223.95,39467.12,86883.22,136970.9
8039.2803,70025.93,80809.04,82377.68
84666.57,77441.71,78817.71,139191.44
70729.414,41132.94,142390.62,68065.56
65237.45,41181.1,138102.67,83566.63
33463.89,33092.8,61361.86,-401.19
83983.305,45684.492,70594.82,262143
74100.18,130922.96,154471.05,130616.805
82864.44,45599.35,83196.4,136243.78
44488.66,40786.36,150417.88,156919.47
39854.98,40836.242,174167.2,201620.55
71808.28,42198.48,77733.68,95923.11
86456.664,40471.6,98656.625,35482.742
57089.812,40393.34,140385.55,129596.414
78749.77,84176.375,83382.164,164957.47
38291.5,43820.44,207911.03,87300.75
77540.18,43098.902,149730.3,88977.75
65221.543,119048.945,70825.734,149465.42
87298.17,84003.94,45844.02,92861.08
92381.2,71520.18,84077.47,120461.06
42605.69,37888.59,87966.82,94004.02
150452.27,89104.17,212880.53,133609.61
67015.5,79254.164,231078.14,139699.27
83453.54,54019.18,49645.223,134571.08
36911.63,80717.02,42097.43,207177.44
80709.71,37768.62,130364.82,80840.43
